Street,Address,Suburb,State,Postcode,Type,Date,Method,Price,Bedrooms,Bathrooms,Cars,Area,Agent,Latitude,Longitude,Distance
21 Noah Road ,CLYDE NORTH VIC 3978,CLYDE NORTH,VIC,3978,Townhouse,30-May-22,private treaty,712382,5,3,2,0,UpHill Real Estate,-38.0807229,145.3506526,45.09889357
35 Heather Avenue ,BROOKLYN VIC 3012,BROOKLYN,VIC,3012,Townhouse,18-Feb-22,auction,705000,3,1,1,0,Ray White Altona,-37.8207693,144.8467307,10.25640074
5/22 Laurence Avenue ,AIRPORT WEST VIC 3042,AIRPORT WEST,VIC,3042,Villa,19-May-22,auction,700000,3,1,2,0,Nelson Alexander Essendon,-37.7281926,144.8752841,12.29854149
2/17 James Street ,FAWKNER VIC 3060,FAWKNER,VIC,3060,Townhouse,10-Mar-22,auction,607000,2,2,1,0,Barry Plant Coburg,-37.7056065,144.9743316,12.12066625
6/133 Charman Road ,BEAUMARIS VIC 3193,BEAUMARIS,VIC,3193,Villa,18-Jun-22,auction,850000,2,1,2,0,Michael Cooney,-37.9822122,145.0389098,19.83358709
4 Carex Drive ,KALKALLO VIC 3064,KALKALLO,VIC,3064,New house and land,19-May-22,private treaty,780000,4,2,2,0,UNKNOWN,-37.5350567,144.9573103,31.0552919
3/66 Blanche Street ,ARDEER VIC 3022,ARDEER,VIC,3022,Townhouse,4-Apr-22,private treaty,535000,2,1,1,0,Barry Plant Sunshine,-37.7793542,144.8024247,14.65006677
6/22 Edgar Street ,HADFIELD VIC 3046,HADFIELD,VIC,3046,Apartment ,6-Apr-22,auction,535000,2,1,1,0,McDonald Upton,-37.7077308,144.9470742,11.92868078
2/6 Barling Court ,THOMSON VIC 3219,THOMSON,VIC,3219,Townhouse,6-Apr-22,private treaty,505000,2,1,1,0,Buxton Geelong East Pty Ltd,-38.1674558,144.3739197,64.89850829
8/105-107 Park Road ,CHELTENHAM VIC 3192,CHELTENHAM,VIC,3192,Villa,3-May-22,private treaty,765000,2,1,1,0,UNKNOWN,-37.9670081,145.0546951,18.79855918
61A Epsom Street South ,ALTONA MEADOWS VIC 3028,ALTONA MEADOWS,VIC,3028,Apartment ,16-Mar-22,auction,470000,3,2,1,0,Ray White Altona,-37.869627,144.769869,18.06254206
2/3 Barwise Street ,LAVERTON VIC 3028,LAVERTON,VIC,3028,Townhouse,16-Mar-22,private treaty,480000,2,1,1,0,UNKNOWN,-37.8532216,144.7745231,17.13005122
6/140-142 Wells Road ,ASPENDALE GARDENS VIC 3195,ASPENDALE GARDENS,VIC,3195,Apartment ,7-May-22,auction,760000,3,1,2,0,Buxton Real Estate Dingley Village,-38.0191119,145.1138758,26.34968988
6/148 Station Road ,MELTON VIC 3337,MELTON,VIC,3337,Block of units,16-Oct-17,private treaty,250000,2,1,1,0,Biggin & Scott Wyndham City,-37.6837089,144.5779578,36.85744728
2/27 Montague Street ,HIGHTON VIC 3216,HIGHTON,VIC,3216,Villa,20-Dec-17,private treaty,225000,1,1,1,0,Ray White Geelong,-38.1703653,144.3208374,68.84464963
17/6 Garnet Street ,BRUNSWICK VIC 3056,BRUNSWICK,VIC,3056,Villa,13-Feb-18,auction,250000,1,1,1,0,McGrath Coburg / Brunswick,-37.7570374,144.9533393,6.418476223
209/1384 Dandenong Road ,HUGHESDALE VIC 3166,HUGHESDALE,VIC,3166,Apartment ,5-Dec-17,private treaty,250000,1,1,1,0,Pagan Real Estate,-37.8995028,145.0811583,14.04898555
5/9-11 Chris Court ,OAK PARK VIC 3046,OAK PARK,VIC,3046,Block of units,2-Nov-17,private treaty,242000,1,1,1,0,UNKNOWN,-37.7146023,144.905125,12.19888699
805/719 High Street ,EPPING VIC 3076,EPPING,VIC,3076,New apartments / off the plan,13-Nov-17,private treaty,249999,1,1,1,0,Harcourts Rata & Co,-37.639111,145.0266224,20.26147756
3/5 Cara Road ,HIGHTON VIC 3216,HIGHTON,VIC,3216,Block of units,15-Nov-17,private treaty,213000,1,1,1,0,Prime Real Estate,-38.164302,144.3230248,68.30309557
28/62-72 Bay Road ,SANDRINGHAM VIC 3191,SANDRINGHAM,VIC,3191,Studio,25-Feb-22,private treaty,267500,0,1,1,0,Belle Property Sandringham,-37.9455564,145.001181,14.98527978
12/44 Kneen Street ,FITZROY NORTH VIC 3068,FITZROY NORTH,VIC,3068,Studio,11-Feb-20,auction,248000,1,1,1,0,McGrath Northcote,-37.7833673,144.9892689,4.128004122
3/215 Church Street ,MANIFOLD HEIGHTS VIC 3218,MANIFOLD HEIGHTS,VIC,3218,Apartment ,30-Oct-19,auction,250000,1,1,1,0,McGrath Geelong | Newtown,-38.1306678,144.3382814,65.1231009
106/70 Nicholson Street ,FITZROY VIC 3065,FITZROY,VIC,3065,Studio,7-Oct-20,private treaty,220000,0,1,0,0,Jellis Craig Fitzroy,-37.7982965,144.974929,2.050773599
15/2 Stenhouse Avenue ,BROOKLYN VIC 3012,BROOKLYN,VIC,3012,Apartment ,17-Aug-18,auction,200000,1,1,1,0,Hodges Yarraville,-37.8198292,144.8462317,10.29333208
11/3 Royal Avenue ,ESSENDON NORTH VIC 3041,ESSENDON NORTH,VIC,3041,Apartment ,28-Apr-18,auction,215000,1,1,1,0,Nelson Alexander Essendon,-37.7368165,144.9034667,10.08283909
20/16 South Circular Road ,GLADSTONE PARK VIC 3043,GLADSTONE PARK,VIC,3043,Apartment ,29-May-18,auction,225000,1,1,0,0,Barry Plant Gladstone Park,-37.6918336,144.890422,15.0408926
60/36 Fourteenth Road ,BARWON HEADS VIC 3227,BARWON HEADS,VIC,3227,Apartment ,18-May-18,private treaty,220000,1,1,1,0,Hayden Real Estate Ocean Grove,-38.2747705,144.4881352,65.99744032
37/87 Alma Road ,ST KILDA EAST VIC 3183,ST,VIC,3183,Studio,11-Jul-19,auction,215000,0,1,0,0,McGrath St Kilda,-37.8619027,144.9950854,5.999746616
